county_resident,Population,Positive,DEATHS,HOSPITALIZATION
Appling,18561,72,5,12
Atkinson,8330,11,1,4
Bacon,11404,27,1,3
Baker,3116,24,2,8
Baldwin,44428,238,8,50
Banks,19982,30,0,7
Barrow,86383,163,4,44
Bartow,110771,329,31,120
Ben Hill,16645,29,0,2
Berrien,19276,17,0,1
Bibb,152150,337,12,97
Bleckley,12838,19,0,0
Brantley,19202,22,2,1
Brooks,15727,60,7,4
Bryan,39137,54,3,17
Bulloch,79467,42,2,9
Burke,22342,87,3,16
Butts,25174,152,17,16
Calhoun,6317,107,4,7
Camden,53924,35,1,6
Candler,10837,7,0,1
Carroll,120119,390,15,75
Catoosa,68771,51,0,5
Charlton,13251,12,0,3
Chatham,292176,240,9,58
Chattahoochee,10749,13,0,5
Chattooga,24766,15,2,3
Cherokee,266617,500,13,90
Clarke,129779,159,13,30
Clay,2855,25,3,4
Clayton,304838,802,33,139
Clinch,6656,9,0,2
Cobb,790588,1823,98,489
Coffee,43042,146,7,42
Colquitt,45393,190,9,12
Columbia,158631,166,4,26
Cook,17437,28,1,5
Coweta,152001,234,4,38
Crawford,12228,18,0,4
Crisp,22289,171,4,34
Dade,16162,16,1,3
Dawson,27021,66,1,12
DeKalb,793154,2245,57,417
Decatur,26322,94,1,11
Dodge,20385,30,1,7
Dooly,13400,133,11,35
Dougherty,89905,1544,125,315
Douglas,151906,342,11,99
Early,10146,221,23,13
Echols,3969,5,0,0
Effingham,64026,36,1,11
Elbert,18945,31,0,2
Emanuel,22664,22,0,3
Evans,10687,5,0,0
Fannin,26320,31,1,4
Fayette,117544,188,10,35
Floyd,99916,149,11,37
Forsyth,252507,336,10,46
Franklin,23329,22,1,5
Fulton,1099181,3053,128,554
Gilmer,31417,73,0,13
Glynn,86047,59,1,11
Gordon,58049,115,12,27
Grady,24540,63,3,17
Greene,18717,57,3,17
Gwinnett,971145,2045,60,371
Habersham,45800,349,9,51
Hall,206349,1727,23,218
Hancock,8193,64,2,9
Haralson,30722,29,1,7
Harris,34712,60,2,9
Hart,26107,12,0,0
Heard,12370,13,1,4
Henry,239866,530,13,65
Houston,157039,248,14,77
Irwin,9433,18,1,2
Jackson,74700,108,2,18
Jasper,14199,25,0,4
Jeff Davis,15148,22,1,4
Jefferson,15313,15,1,3
Jenkins,8576,17,1,4
Johnson,9661,63,2,10
Jones,28591,29,0,4
Lamar,19347,40,1,4
Lanier,10351,10,1,4
Laurens,47296,66,1,12
Lee,29971,329,20,46
Liberty,61904,37,0,11
Lincoln,8125,12,0,5
Long,19915,5,0,2
Lowndes,117878,159,4,28
Lumpkin,33802,65,2,13
Macon,12988,89,3,28
Madison,30177,26,1,5
Marion,8293,39,1,8
McDuffie,21597,47,4,14
McIntosh,14567,6,0,2
Meriwether,21020,55,1,9
Miller,5764,31,0,1
Mitchell,22056,320,31,68
Monroe,27727,25,3,7
Montgomery,9224,2,0,1
Morgan,19138,29,0,3
Murray,40261,33,1,5
Muscogee,191626,336,7,65
Newton,112354,215,8,36
Non-Georgia Resident,0,1081,16,70
Oconee,41737,65,0,9
Oglethorpe,15240,50,3,11
Paulding,172542,207,9,53
Peach,27375,59,2,15
Pickens,33530,29,2,8
Pierce,19545,51,3,15
Pike,18860,40,2,7
Polk,43482,60,0,11
Pulaski,10893,33,1,7
Putnam,21885,44,5,8
Quitman,2294,7,1,3
Rabun,16986,13,0,5
Randolph,6754,164,19,27
Richmond,202240,423,16,121
Rockdale,94960,197,6,45
Schley,5275,16,1,7
Screven,13900,15,1,6
Seminole,8140,31,2,7
Spalding,69110,223,11,37
Stephens,26328,88,1,21
Stewart,6129,25,0,7
Sumter,29399,389,28,99
Talbot,6158,25,1,12
Taliaferro,1632,1,0,0
Tattnall,25411,9,0,1
Taylor,7958,18,2,8
Telfair,15644,29,0,5
Terrell,8467,188,21,32
Thomas,44431,192,20,44
Tift,40830,132,5,37
Toombs,26983,34,3,9
Towns,12034,19,1,7
Treutlen,6829,3,0,0
Troup,70414,155,4,45
Turner,8076,69,9,10
Twiggs,8086,8,0,3
Union,25335,31,1,10
Unknown,,699,2,43
Upson,26277,242,19,23
Walker,69610,60,0,1
Walton,95814,133,4,21
Ware,35853,132,11,37
Warren,5210,13,0,3
Washington,20302,44,1,5
Wayne,29974,13,0,2
Webster,2550,10,2,5
Wheeler,7909,5,0,0
White,31758,78,0,19
Whitfield,104672,120,5,15
Wilcox,8790,90,9,15
Wilkes,10014,25,0,5
Wilkinson,8919,36,2,13
Worth,20142,166,11,32
