ColorName,ColorSample,CXColorCode,HLSColorCode,Value
Snow,,CXFFFAFA,H078FDFF,999
LawnGreen,,CX7CFC00,H0D27EFF,999
AliceBlue,,CXF0F8FF,H148F8FF,999
White,,CXFFFFFF,H000FF00,999
WhiteSmoke,,CXF5F5F5,H000F500,999
LightGoldenrodYellow,,CXFAFAD2,H0B4E6CC,999
LightYellow,,CXFFFFE0,H0B4F0FF,999
Yellow,,CXFFFF00,H0B480FF,999
Silver,,CXC0C0C0,H000C000,999
Khaki,,CXF0E68C,H0AEBEC4,999
